kommuneId,navn,antall,Ap,Frp,H,KrF,MDG,R,Sp,SV,V,A
3214,Frogn,8771,16.7141717,6.544293695,34.86489568,4.400866492,9.520009121,2.599475544,6.931934785,6.475886444,7.798426633,4.150039904
3212,Nesodden,10810,19.7039778,5.938945421,21.16558742,2.636447734,14.7826087,11.76688252,5.883441258,12.46068455,5.661424607,0
3201,Bærum,68196,14.80438735,7.123584961,42.41011203,1.752302188,10.81881635,2.709836354,3.377030911,4.177664379,9.78503138,3.04123409
3203,Asker,48626,16.07987496,7.259490807,43.10039896,1.926952659,10.49644223,2.521284909,5.974170197,4.563402295,5.834327315,2.243655657
3226,Aurskog-Høland,8372,39.05876732,12.47013856,9.065934066,5.912565695,2.305303392,2.233635929,25.53750597,2.556139513,0.860009556,0
3224,Rælingen,8461,43.28093606,9.526060749,20.75404798,2.470157192,4.325729819,2.611984399,6.961352086,4.940314384,3.285663633,1.843753693
3220,Enebakk,5204,27.42121445,13.37432744,22.71329746,2.517294389,2.824750192,2.42121445,22.05995388,4.592621061,2.075326672,0
3222,Lørenskog,18674,33.64571061,10.54942701,25.73096284,2.190210989,6.265395737,3.668201778,7.373888829,6.340366285,4.235835922,0
3205,Lillestrøm,39411,29.90789374,10.65184847,19.58843978,2.395270356,6.394153916,2.588109919,11.92560453,4.965618736,2.882443988,8.700616579
3232,Nittedal,12026,25.10394146,11.78280392,25.44486945,2.511225678,8.340262764,3.841676368,10.5853983,5.421586562,6.41942458,0.54881091
3230,Gjerdrum,3419,26.0017549,8.657502194,25.82626499,4.27025446,6.697864873,0,22.57970167,3.041825095,2.924831822,0
3209,Ullensaker,16278,26.95048532,29.55522791,14.75611254,1.89212434,3.839538027,2.91190564,12.59982799,4.066838678,3.004054552,0.423884998
3228,Nes,10658,34.37793207,12.4788891,12.15049728,2.964908989,5.282416964,0,21.58003378,0,2.55207356,8.613248264
3240,Eidsvoll,11340,23.3686067,12.40740741,16.94003527,2.222222222,4.929453263,3.28042328,26.0670194,4.479717813,1.807760141,4.497354497
3238,Nannestad,6011,29.12992846,10.9465979,14.63982698,2.695059058,4.225586425,1.946431542,16.02062885,2.645150557,4.641490601,13.10929962
3242,Hurdal,1502,16.97736352,9.587217044,11.65113182,6.191744341,6.72436751,0,26.03195739,0,4.99334221,17.84287617
3310,Hole,3471,22.55834054,6.222990493,38.37510804,3.399596658,5.704407952,0,16.85393258,6.88562374,0,0
3320,Flå,612,0,0,0,0,0,0,17.32026144,0,0,82.67973856
3322,Nesbyen,1762,13.56413167,0,21.96367764,0,0,0,17.65039728,0,0,46.82179342
3324,Gol,2296,45.6010453,3.484320557,16.81184669,2.047038328,0,0,24.60801394,4.050522648,3.397212544,0
3326,Hemsedal,1326,13.19758673,3.544494721,25.64102564,7.315233786,0,0,33.71040724,6.033182504,3.770739065,6.787330317
3328,Ål,2569,33.70961464,4.632152589,15.02530167,0,0,0,33.9820942,6.928766057,5.722070845,0
3330,Hol,2308,30.97920277,0,27.25303293,0,0,0,36.13518198,0,5.632582322,0
3332,Sigdal,1840,12.93478261,3.967391304,10.92391304,0,0,0,51.84782609,0,0,20.32608696
3318,Krødsherad,1116,35.75268817,0,23.02867384,0,0,0,0,0,0,41.21863799
3316,Modum,6853,39.70523858,13.24967168,10.52093973,3.093535678,2.714139793,1.809426529,21.50882825,4.085801839,2.436888954,0.875528965
3314,Øvre Eiker,8797,23.13288621,9.594179834,23.97408207,2.523587587,3.137433216,1.807434353,29.11219734,4.467432079,2.250767307,0
3312,Lier,13078,25.83728399,8.724575623,37.49044196,2.049243004,6.774736198,0,10.92674721,4.541978896,3.654993118,0
3334,Flesberg,1364,18.76832845,14.00293255,14.07624633,0,0,0,49.5601173,0,3.592375367,0
3336,Rollag,746,38.06970509,0,0,0,0,0,61.93029491,0,0,0
3338,Nore og Uvdal,1282,38.61154446,5.460218409,15.67862715,0,0,0,34.71138846,5.538221529,0,0
3236,Jevnaker,3432,43.64801865,10.81002331,12.09207459,0,4.924242424,0,16.92890443,11.5967366,0,0
3234,Lunner,4621,37.17809998,8.288249297,15.12659597,0,5.280242372,4.501190219,22.18134603,4.782514607,2.661761523,0
301,Oslo kommune,365467,20.0078256,5.273253125,25.40119901,1.736408486,15.26047495,7.196819412,2.183507676,9.100137632,5.77617131,8.064202787
3401,Kongsvinger,8734,31.22280742,7.384932448,11.65559881,2.450194642,2.599038241,2.793679872,23.47149073,4.991985345,2.267002519,11.16326998
3403,Hamar,16053,23.05488071,3.27664611,9.157166885,2.423223074,4.615959634,3.438609606,7.967358126,5.319877904,3.27664611,37.46963184
3405,Lillehammer,14399,27.88388083,4.868393638,18.25126745,1.937634558,9.174248212,6.722689076,17.27897771,7.743593305,4.090561845,2.048753386
3407,Gjøvik,14258,33.35671202,3.780333848,18.99985973,2.426707813,3.878524337,6.108851171,22.45756768,5.176041521,2.833496984,0.981904895
3411,Ringsaker,16186,44.80415174,4.194983319,7.191399975,1.58161374,3.63276906,1.933769925,25.20079081,3.292969233,1.000864945,7.166687261
3412,Løten,3878,28.59721506,3.4038164,5.157297576,0,4.151624549,0,51.98555957,5.724600309,0.979886539,0
3413,Stange,11232,36.91239316,5.893874644,5.172720798,3.196225071,3.6502849,2.635327635,23.78917379,5.47542735,1.050569801,12.22400285
3414,Nord-Odal,2530,41.58102767,6.837944664,7.786561265,0,0,0,33.99209486,9.802371542,0,0
3415,Sør-Odal,3892,35.2004111,6.372045221,13.15519013,0,2.081192189,3.288797533,18.96197328,5.369989723,1.618705036,13.95169579
3416,Eidskog,3182,33.34380893,6.348208674,13.63922062,0,1.634192332,0,35.76367065,3.362664991,3.614079195,2.29415462
3417,Grue,2399,38.8078366,5.252188412,17.46561067,0,0,0,30.84618591,0,0,7.628178408
3418,Åsnes,3641,34.05657786,9.667673716,4.174677286,0,0,0,40.20873386,0,7.168360341,4.723976929
3419,Våler (Innlandet),2026,19.54590326,3.701875617,7.305034551,0,0,0,25.56762093,4.294175716,3.356367226,36.2290227
3420,Elverum,9906,35.72582273,7.803351504,12.13406017,1.968503937,4.340803553,0,23.77347062,10.15546134,1.383000202,2.715525944
3421,Trysil,3755,33.66178429,4.766977364,12.56990679,1.784287617,1.624500666,0,39.12117177,5.672436751,0.798934754,0
3422,Åmot,2114,31.31504257,7.190160833,9.413434248,0,0,0,40.11352886,10.21759697,1.750236518,0
3423,Stor-Elvdal,1324,37.31117825,6.117824773,10.19637462,0,0,0,30.28700906,9.818731118,6.268882175,0
3424,Rendalen,1117,54.07341092,0,5.192479857,0,0,0,35.27305282,5.461056401,0,0
3425,Engerdal,807,43.99008674,0,10.03717472,0,0,0,0,0,0,45.97273854
3426,Tolga,908,19.82378855,0,0,0,0,0,41.62995595,31.60792952,6.938325991,0
3427,Tynset,3019,19.27790659,2.219277907,7.684663796,1.888042398,5.10102683,0,50.04968533,6.127856906,3.345478635,4.30606161
3428,Alvdal,1367,25.45720556,0,23.84784199,3.803950256,4.974396489,0,38.84418435,0,3.072421361,0
3429,Folldal,991,40.76690212,0,0,0,0,9.182643794,38.84964682,0,0,11.20080727
3430,Os,1138,28.82249561,0,0,5.448154657,0,0,55.71177504,10.01757469,0,0
3431,Dovre,1407,28.35820896,0,9.310589908,0,0,0,33.26226013,0,0,29.06894101
3432,Lesja,1108,38.89891697,0,12.54512635,0,0,0,48.55595668,0,0,0
3433,Skjåk,1270,25.43307087,0,0,0,0,0,60.94488189,0,0,13.62204724
3434,Lom,1148,21.51567944,0,0,0,0,0,40.76655052,0,0,37.71777003
3435,Vågå,1969,30.37074657,0,0,0,0,0,33.92585069,10.91924835,0,24.78415439
3436,Nord-Fron,2908,61.24484182,3.198074278,6.671251719,2.441540578,0,0,26.44429161,0,0,0
3437,Sel,3293,29.82083207,1.700576981,4.494382022,0,2.884907379,0,57.94108715,3.158214394,0,0
3438,Sør-Fron,1560,32.75641026,0,3.653846154,0,0,2.371794872,52.43589744,0,0,8.782051282
3439,Ringebu,2217,53.49571493,0,0,0,3.924221922,0,27.55976545,0,0,15.0202977
3440,Øyer,2621,34.60511255,0,10.2632583,3.090423502,0,0,43.80007631,8.24112934,0,0
3441,Gausdal,3114,36.3519589,0,0,0,4.174694926,0,44.1554271,0,0,15.31791908
3442,Østre Toten,7238,37.15114673,6.686930091,9.450124344,2.417794971,3.163857419,3.17767339,29.91157778,2.942801879,2.749378281,2.348715115
3443,Vestre Toten,6539,39.22618137,7.998164857,15.4152011,2.049243004,3.440893103,3.471478819,23.15338737,3.058571647,2.186878728,0
3446,Gran,6923,27.32919255,5.416726853,9.374548606,0,2.036689297,0,20.38133757,0,1.863354037,33.59815109
3447,Søndre Land,2717,31.98380567,0,16.30474788,1.545822598,2.281928598,3.533308796,16.30474788,4.563857195,4.379830696,19.10195068
3448,Nordre Land,3345,37.81763827,0,8.251121076,1.853512706,1.913303438,0,39.01345291,6.00896861,0,5.14200299
3449,Sør-Aurdal,1563,30.51823417,5.118362124,8.445297505,0,0,0,49.13627639,0,0,6.781829814
3450,Etnedal,728,32.00549451,9.203296703,0,0,0,0,45.46703297,0,0,13.32417582
3451,Nord-Aurdal,3154,31.51553583,9.13126189,8.941027267,1.585288523,0,0,36.65187064,4.629042486,7.545973367,0
3452,Vestre Slidre,1089,14.96786042,0,0,0,7.346189164,0,56.01469238,0,0,21.67125803
3453,Øystre Slidre,1586,23.39218159,0,12.73644388,0,0,0,52.26986129,7.250945776,4.350567465,0
3454,Vang,894,53.24384787,0,0,0,7.606263982,0,24.16107383,0,0,14.98881432
3901,Horten,13619,43.42462736,8.583596446,21.42594904,2.298259784,7.056318379,7.012262281,4.515750055,3.62728541,2.055951245,0
3903,Holmestrand,12198,29.84095753,11.0181997,30.44761436,2.7135596,4.566322348,3.18084932,12.53484178,3.303820298,1.844564683,0.549270372
3905,Tønsberg,27930,26.84568564,9.248120301,26.09738632,3.859649123,7.436448264,2.849982098,12.59935553,5.900465449,3.959899749,1.203007519
3907,Sandefjord,30063,25.4033197,8.119615474,32.45850381,3.053587466,5.189102884,2.49808735,10.00565479,4.823204604,5.691381432,2.757542494
3909,Larvik,22633,22.2197676,14.33747183,19.74992268,4.334379004,5.496399063,3.786506429,11.09441965,4.427163876,3.269562144,11.28440772
4001,Porsgrunn,17408,35.45496324,8.576516544,14.95863971,6.020220588,5.951286765,6.830193015,9.127987132,5.773207721,3.463924632,3.843060662
4003,Skien,25182,31.86005877,9.800651259,17.89373362,5.567468827,5.368914304,4.709713287,10.32086411,5.777936621,2.112620125,6.588039076
4005,Notodden,6410,33.26053042,4.695787832,16.7550702,6.255850234,2.043681747,8.533541342,15.77223089,7.347893916,2.886115445,2.449297972
3911,Færder,13821,23.00123001,9.485565444,26.24990956,2.713262427,11.05563997,0,12.91512915,0,3.878156429,10.70110701
4010,Siljan,1304,33.43558282,0,11.27300613,5.751533742,0,0,43.09815951,6.441717791,0,0
4012,Bamble,6926,35.14293965,18.55327751,13.42766388,4.418134565,2.815477909,4.779093272,14.00519781,2.671094427,2.050245452,2.136875541
4014,Kragerø,5496,24.52692868,10.66229985,14.88355167,5.00363901,7.387190684,12.48180495,19.77802038,2.69286754,2.583697234,0
4016,Drangedal,2172,27.99263352,6.813996317,4.465930018,6.169429098,0,0,45.62615101,6.583793738,2.348066298,0
4018,Nome,3290,36.74772036,8.814589666,9.14893617,2.917933131,4.103343465,0,33.40425532,3.860182371,0,1.003039514
4020,Midt-Telemark,4731,21.22172902,9.025575988,10.29380681,4.882688649,9.194673431,4.417670683,30.86028324,4.396533502,5.707038681,0
4026,Tinn,3082,23.23166775,3.731343284,24.17261518,0,0,0,28.35820896,17.97534069,2.53082414,0
4024,Hjartdal,899,46.94104561,0,0,9.010011123,0,0,44.04894327,0,0,0
4022,Seljord,1566,16.73052363,10.40868455,18.45466156,0,8.876117497,0,43.93358876,0,1.59642401,0
4028,Kviteseid,1255,36.57370518,0,8.525896414,12.90836653,6.454183267,0,33.38645418,0,2.151394422,0
